etd_1
thesis_format,title,publication_date,degree_name,department,department2,embargo,embargo_date,embargo_reason,language,keywords,disciplines,distribution_license,author1_institution
,"Essays on Portfolio Optimization, Simulation and Option Pricing",2014-01-17 00:00,Doctor of Philosophy,Economics,,FALSE,,,English,"PORTFOLIO OPTIMIZATION, SIMULATION, OPTION PRICING",Econometrics,,The University of Western Ontario
,Structural and Durability Performance of Precast Segmental Tunnel Linings,2014-01-15 00:00,Doctor of Philosophy,Civil and Environmental Engineering,,FALSE,,,English,"Precast; concrete; tunnel; linings; chloride; ions; corrosion; structural; durability; fibre; reinforced concrete; ultra-high; performance; flexural, thrust, settlement",Civil Engineering; Structural Engineering,,The University of Western Ontario
,Control of Wind Energy Conversion Systems for Large-Scale Integration with the Power System,2014-02-18 00:00,Doctor of Philosophy,Electrical and Computer Engineering,,TRUE,2014-09-01 00:00,,English,"Control, Damping, Drive-Train Torsional Modes, Frequency Response, Real Power Control, Wind Energy Conversion Systems",Power and Energy,,The University of Western Ontario
,Structural Variation and Local Service Delivery: Comparing Municipal Governments and Special Purpose Bodies,2014-02-25 00:00,Doctor of Philosophy,Political Science,,FALSE,,,English,"Local Government, Multilevel Governance, Special Purpose Bodies, Polycentricity, Consolidation, Ontario",Political Science,,The University of Western Ontario
,Executive Dysfunction: A Contributor to Subtypes of Violence or General Criminality?,2014-01-24 00:00,Doctor of Philosophy,Psychology,,FALSE,,,English,"Executive Functioning, General Theory of Crime, Crime-Specific Approach, Reactive Violence, Instrumental Violence, Nonviolent Offending",Clinical Psychology,,The University of Western Ontario
,Functional Transformations and Octatonality in Selected Works by George Crumb,2014-02-06 00:00,Doctor of Philosophy,Music,,FALSE,,,English,"octatonic, transformational theory, A Haunted Landscape, Come Lovely and Soothing Death, Apparition, sketch",Music Theory,,The University of Western Ontario
,A Molecular Simulation Study on Micelle Fragmentation and Wetting in Nano-Confined Channels,2014-01-28 00:00,Doctor of Philosophy,Applied Mathematics,,FALSE,,,English,"MARTINI model, DPD, SDS Micelle, Poiseuille flow, Wetting, Fragmentation",Biological and Chemical Physics; Condensed Matter Physics; Other Applied Mathematics; Physical Chemistry,,The University of Western Ontario
,Removal and Recovery of Heavy Metals by Nickel Smelter Slag,2014-01-09 00:00,Master of Engineering Science,Civil and Environmental Engineering,,FALSE,,,English,"adsorption, industrial waste, nickel smelter slag, heavy metals",Environmental Engineering,,The University of Western Ontario
,Oligonucleotide Design for Whole Genome Tiling Arrays,2014-01-22 00:00,Master of Science,Computer Science,,TRUE,2016-01-22 00:00,,English,"DNA, oligonucleotide, tiling arrays, microarrays",Bioinformatics; Other Computer Sciences,,The University of Western Ontario
,Pre-diabetes and sympathetic nervous system mediated microvascular dysregulation in skeletal muscle,2014-01-31 00:00,Doctor of Philosophy,Medical Biophysics,,TRUE,2015-03-01 00:00,,English,"microcirculation, neuropeptide Y, norepinephrine, Y1 receptor, adrenergic receptor, blood flow",Circulatory and Respiratory Physiology; Medicine and Health Sciences,,The University of Western Ontario
,I. Accurate 50-200 keV proton stopping cross sections in solids  II. Lateral growth of Si wires on Si (100) substrate,2014-02-26 00:00,Doctor of Philosophy,Physics,,FALSE,,,English,"Stopping cross section, medium energy ion scattering, strontium titanate, molecular beam epitaxy, Si wire, vapour-liquid-solid",Condensed Matter Physics,,The University of Western Ontario
,Hybrid Data Storage Framework for the Biometrics Domain,2014-01-14 00:00,Master of Engineering Science,Electrical and Computer Engineering,,FALSE,,,English,"Biometric Authentication System, Biometric Technology, Large-Scale Identity Matching, Biographic Fusion, Scalable Biometric Systems, NoSQL Biometric Storage, Parallel Biometric Matching, Identification Search, De-duplication Search",Computer and Systems Architecture; Data Storage Systems; Other Electrical and Computer Engineering,,The University of Western Ontario
,"The Aricheng Basement-Hosted Albitite-Type Uranium Deposit, Roraima Basin, Co-operative Republic of Guyana, South America",2014-02-07 00:00,Doctor of Philosophy,Geology,,FALSE,,,English,"Transamazonian, Roraima Basin, Kurupung batholith, Sanukitoid, Basement-Hosted, Albitite uranium-zircon",Geology,,The University of Western Ontario
,The ATP2C2 Gene as Transcribed from a Novel Transcriptional Start Site in Pancreatic Acinar Cells,2014-01-08 00:00,Master of Science,Pharmacology and Toxicology,,TRUE,2014-04-30 00:00,,English,"ATP2C2, SPCA2, exocrine pancreas, calcium, acinar cell, regulated exocytosis, transcriptional start site",Bioinformatics; Developmental Biology; Genetics,,The University of Western Ontario
,Static and Seismic Performance of Geosynthetics-Strengthened Pile Foundations,2014-02-24 00:00,Doctor of Philosophy,Civil and Environmental Engineering,,FALSE,,,English,"Seismic, static, piles, polymer strips reinforcement, microgrid mesh, geogrid, soft clay, Shaking table tests, Scaled model tests, Layered soil, Plaxis 3D",Geotechnical Engineering,,The University of Western Ontario
,Differential effects of early-life seizures on neuronal inhibition in the hippocampus of seizure-prone and seizure-resistant rats,2014-01-23 00:00,Master of Science,Neuroscience,,FALSE,,,English,"early-life seizure, neuronal inhibition, hippocampus, rat",Other Neuroscience and Neurobiology,,The University of Western Ontario
,Automatic Multi-Model Fitting for Blood Vessel Extraction,2014-01-22 00:00,Master of Science,Computer Science,,FALSE,,,English,"Blood vessel extraction, energy minimization, graph-cuts, geometric model fitting, piece-wise smooth model, Potts model",Artificial Intelligence and Robotics,,The University of Western Ontario
,Brain tumor segmentation with minimal user assistance,2014-01-21 00:00,Master of Science,Computer Science,,FALSE,,,English,"brain tumor, interactive segmentation, graph cuts, star shape, multi-region",Other Computer Engineering,,The University of Western Ontario
,Shear Capacity of Reinforced Concrete Beams at Elevated Temperatures,2014-01-29 00:00,Master of Engineering Science,Civil and Environmental Engineering,,TRUE,2014-11-20 00:00,,English,"Reinforced concrete, elevated temperatures, heat transfer, fire resistance, shear capacity, RC beams",Civil Engineering; Structural Engineering,,The University of Western Ontario
,Concerto Suite: For Viola da Gamba and String Soloists,2014-02-13 00:00,Doctor of Philosophy,Music,,FALSE,,,English,"Viola da gamba, composition, hybridization, dance suite, concerto, allemande, courante, sarabande, gigue, string soloists",Composition,,The University of Western Ontario
,Extracting Vessel Structure From 3D Image Data,2014-01-29 00:00,Master of Science,Computer Science,,FALSE,,,English,"Vesselness Measure, Hessian Matrix, Gaussian Derivatives, Harris Corner Detector, Eigenvalue Decomposition, Canny Edge Detector, Model Fitting, Rings Reduction, Noise Reduction, 3D Volume Visualization, Minimum Spanning Tree",Cardiovascular System; Geometry and Topology; Graphics and Human Computer Interfaces; Other Computer Sciences,,The University of Western Ontario
,Challenging Essentialized Representations of Romani Identities in Canada,2014-02-07 00:00,Doctor of Philosophy,Anthropology,,FALSE,,,English,"Roma/Romani studies, identity, representation, history, media, advocacy, Canada, refugee/immigration policy",Social and Cultural Anthropology,,The University of Western Ontario
,Control of Cooperative Haptics-Enabled Teleoperation Systems with Application to Minimally Invasive Surgery,2014-02-14 00:00,Doctor of Philosophy,Electrical and Computer Engineering,,TRUE,2016-02-14 00:00,,English,"Cooperative Teleoperation, Haptic, Small-gain Design, Projection-Based Force Reflection, Robot-Assisted Minimally Invasive Surgery",Biomedical; Controls and Control Theory,,The University of Western Ontario
,An Accurate Offline Phasor Estimation Technique For Fault Location In Series Compensated Lines,2014-01-30 00:00,Master of Science,Electrical and Computer Engineering,,FALSE,,,English,"Fault location, Phasor estimation, Series compensated line, Sub-synchronous frequency component.",Power and Energy; Signal Processing,,The University of Western Ontario
,Essays on Innovation and Consumer Credit,2014-02-13 00:00,Doctor of Philosophy,Economics,,FALSE,,,English,"Innovation, Production Complementarities, Consumer Credit, Bankruptcies, Business Cycles",Industrial Organization; Macroeconomics,,The University of Western Ontario
,A Critical Policy Analysis of Internationalization in Postsecondary Education : An Ontario Case Study,2014-03-19 00:00,Doctor of Philosophy,Education,,TRUE,2014-08-15 00:00,,English,"Internationalization, Higher Education, Values, Critical Policy Analysis, Case Study, Ontario.",International and Comparative Education,,The University of Western Ontario
,Examining Children's Perceptions and Use of Their Neighbourhood Built Environments:  A Novel Participatory Mapping Approach,2014-02-14 00:00,Master of Arts,Geography,,FALSE,,,English,"Children, Active Travel, Built Environment, Perception Mapping, Participatory Methods, Qualitative GIS",Geographic Information Sciences; Human Geography; Urban Studies and Planning,,The University of Western Ontario
,Computing and Approximation Methods for the Distribution of Multivariate Aggregate Claims,2014-03-20 00:00,Doctor of Philosophy,Statistics and Actuarial Sciences,,FALSE,,,English,"Bivariate counting distributions, compound distributions, recursions, fast Fourier transform, aliasing error, exponential tilting",Statistical Models,,The University of Western Ontario
,Classification of W-groups of Pythagorean formally real fields,2014-03-11 00:00,Doctor of Philosophy,Mathematics,,FALSE,,,English,"W-groups of Pythagorean formally real fields, formally real fields, the space of orderings of field F",Algebra,,The University of Western Ontario
,The Impact of Obesity on Employment Participation and Earnings among Working-Age Women in Canada: Evidence from the NPHS Longitudinal Data,2014-02-13 00:00,Master of Science,Epidemiology and Biostatistics,,FALSE,,,English,"Obesity, Employment Participation, Wage, Income, Unobserved Heterogeneity, Canada",Epidemiology,,The University of Western Ontario
,Releasing the self from the diagnostic straitjacket: Making meaning & creating understanding through dialogic autobiography,2014-03-18 00:00,Doctor of Philosophy,Health and Rehabilitation Sciences,,FALSE,,,English,"Aesthetic Representation, Autobiographical Narrative, Bakhtin, Constructivism, Dialogism, Electroconvulsive Therapy, Foucault, Frankenstein, Jung, Meaningful Learning, Mental Illness, The Self",Psychiatric and Mental Health,,The University of Western Ontario
,Behaviour of Reinforced Concrete Conical Tanks under Hydrostatic Loading,2014-02-10 00:00,Master of Engineering Science,Civil and Environmental Engineering,,TRUE,2014-03-10 00:00,,English,"Conical Tank, Hydrostatic Pressure, Finite Element Analysis, Wall Thickness, Hoop Tension, Meridional Moment, Meridional Compression, Cost Analysis.",Construction Engineering and Management; Structural Engineering,,The University of Western Ontario
,Graphic Drama: Reading Shakespeare in the Comics Medium,2014-03-27 00:00,Doctor of Philosophy,English,,TRUE,2019-05-31 00:00,Commercial Publication,English,"Shakespeare, Comic Books, Sequential Art, Early Modern Drama, Visual Culture, New Formalism","Literature in English, British Isles",,The University of Western Ontario
,Newcomer Youths' Experiences of School,2014-02-26 00:00,Master of Education,Education,,FALSE,,,English,"Newcomer youth, school, positive, stress","Bilingual, Multilingual, and Multicultural Education",,The University of Western Ontario
,The Nature of Conflict in Sport: Development and Validation of the Group Conflict Questionnaire,2014-03-14 00:00,Doctor of Philosophy,Kinesiology,,TRUE,2015-12-31 00:00,,English,"group dynamics, sport psychology, social psychology, organizational psychology, validity, measurement",Industrial and Organizational Psychology; Quantitative Psychology; Social Psychology; Sports Sciences; Sports Studies,,The University of Western Ontario
,Distinct roles of BMP and LKB1/AMPK signalling impacting ovarian cancer spheroid biology,2014-03-27 00:00,Doctor of Philosophy,Anatomy and Cell Biology,,TRUE,2016-04-30 00:00,,English,"high-grade serous ovarian cancer, BMP signalling, LKB1/AMPK signalling, multicellular spheroids, patient samples",Cancer Biology; Cell Biology,,The University of Western Ontario
,Statistical Analysis and Computer Modelling of Volcanic Eruptions,2014-02-27 00:00,Doctor of Philosophy,Geophysics,,FALSE,,,English,"Statistical analysis, scaling, planetary calderas, volcanic eruptions, cellular automata",Geophysics and Seismology; Volcanology,,The University of Western Ontario
,Trends In The Utilization of Antiglaucoma Medication: An Analysis of Canadian Drug Insurance Claims,2014-03-27 00:00,Master of Science,Epidemiology and Biostatistics,,FALSE,,,English,"Ophthalmic medication, Glaucoma, Generic Drug, Drug utilization patterns, Time series, Interrupted time series analysis, Autoregressive Moving Average Model",Health Services Research,,The University of Western Ontario
,A Vector-Based Approach to Virtual Machine Arrangement,2014-03-06 00:00,Master of Science,Computer Science,,FALSE,,,English,"Virtualization, Vector, Virtual Machine, Arrangement, Data Centre Simulation, Multiple Resource Management",Other Computer Engineering,,The University of Western Ontario
,Multiparametric Imaging and MR Image Texture Analysis in Brain Tumors,2014-03-28 00:00,Doctor of Philosophy,Medical Biophysics,,FALSE,,,English,"gliobalstoma, metastasis, DTI, texture analysis, MRI",Medical Biophysics; Oncology,,The University of Western Ontario
,Foster parents' experiences and withdrawal considerations: Comparing treatment and regular foster care,2014-02-27 00:00,Master of Arts,Education,,FALSE,,,English,"foster parents, retention, treatment foster care, regular foster care, child welfare",Civic and Community Engagement,,The University of Western Ontario
,The Romantic Posthuman and Posthumanities,2014-03-26 00:00,Doctor of Philosophy,English,,TRUE,2016-04-01 00:00,,English,"British Romanticism, Posthumanism and Posthumanities, Inhuman, Disciplines, Immanuel Kant, William Blake","Literature in English, British Isles",,The University of Western Ontario
,"Nitrate sources and lake response in high elevation lakes, Uinta Mountains, Utah",2014-03-21 00:00,Doctor of Philosophy,Geography,,FALSE,,,English,"Paleolimnology, alpine lake, eutrophication, nitrate, diatom, stable isotope",Physical and Environmental Geography,,The University of Western Ontario
,Towards an Improved Understanding of the Heterogeneity of Violence: A Test of the Clinical Utility of the Reactive-Instrumental Distinction Among Adult Male Inmates,2014-04-04 00:00,Doctor of Philosophy,Psychology,,FALSE,,,English,"reactive and instrumental violent offending, childhood maltreatment, social information processing, impulsivity, psychopathy, alcohol",Clinical Psychology,,The University of Western Ontario
,The Effects of Atypical Protein Kinase C on TGFβ Signalling,2014-03-24 00:00,Doctor of Philosophy,Pharmacology and Toxicology,,TRUE,2016-03-24 00:00,,English,"Transforming growth factor beta (TGFβ), Protein Kinase C (PKC), Epithelial to mesenchymal transition (EMT), Par6, Smad Signalling, p38 MAPK",Cancer Biology,,The University of Western Ontario
,"Indoleamine 2,3-dioxygenase confers resistance to chemotherapy and γ radiation to cancer cells, independent of direct immune involvement",2014-03-25 00:00,Doctor of Philosophy,Microbiology and Immunology,,FALSE,,,English,"Indoleamine 2, 3-dioxygenase (IDO), cancer, breast cancer type-2 susceptibility protein (BRCA2), Thymidylate synthase (TS), chemotherapy, γ radiation",Neoplasms,,The University of Western Ontario
,The Role of Early Attachment Experiences in the Development of Self-Views and Emerging Cognitive Vulnerability to Depression,2014-03-28 00:00,Doctor of Philosophy,Psychology,,FALSE,,,English,"attachment, self-representations, self-esteem, vulnerability to depression, cognitive vulnerability, helplessness",Social and Behavioral Sciences,,The University of Western Ontario
,Assessing and responding to parental alienation cases: Does gender matter in Canadian court decisions?,2014-03-21 00:00,Master of Arts,Education,,FALSE,,,English,"Gender, gender bias, parental alienation, debate, high conflict divorce",Counseling Psychology,,The University of Western Ontario
,Isotopic Fingerprinting of Shallow and Deep Groundwaters in Southwestern Ontario and its Applications to Abandoned Well Remediation,2014-03-14 00:00,Master of Science,Geology,,TRUE,2014-09-30 00:00,,English,"Leaking wells, stable isotopes, geochemistry, hydrogeology, brines, SIAR, mixing model, groundwater evolution, southwestern Ontario",Geochemistry; Hydrology,,The University of Western Ontario
,Community Physiotherapy and Chronic Disease Self-Management for Rural Community-Dwelling Older Adults,2014-03-20 00:00,Doctor of Philosophy,Health and Rehabilitation Sciences,,TRUE,2014-09-30 00:00,,English,"ethnography, aged, exercise, self care, phenomenology, physiotherapy, self management, chronic disease",Physical Therapy,,The University of Western Ontario
,High Multiplicity Strip Packing,2014-03-13 00:00,Master of Science,Computer Science,,FALSE,,,English,"strip packing, approximation algorithm, optimization",Theory and Algorithms,,The University of Western Ontario
,The Development and Application of a Forearm Simulator to Investigate Radial Head Biomechanics,2014-04-23 00:00,Master of Science,Medical Biophysics,,FALSE,,,English,"Radial head arthroplasty, over-stuffing, IOM, central band, radiocapitellar contact area, radiocapitellar contact pressure, radial head diameter, load transfer, forearm biomechanics",Biomechanics and Biotransport,,The University of Western Ontario
,Statistical methods for the analysis of RNA sequencing data,2014-03-27 00:00,Doctor of Philosophy,Statistics and Actuarial Sciences,,FALSE,,,English,"RNA-seq data, time-course, cluster analysis, missing values",Biostatistics; Longitudinal Data Analysis and Time Series,,The University of Western Ontario
,Sexual Differentiation of the Prefrontal Cortex in Humans:  Examining Behavioural Sex Differences and the Modulatory Role of Androgens,2013-04-10 00:00,Doctor of Philosophy,Psychology,,TRUE,2015-05-01 00:00,,English,"sex differences, prefrontal cortex, reinforcement learning, inhibitory control, risk taking, androgen",Psychology,,The University of Western Ontario
,Quantitative Susceptibility Imaging of Tissue Microstructure Using Ultra-High Field MRI,2014-03-20 00:00,Doctor of Philosophy,Physics,,FALSE,,,English,"myelin, iron, quantitative susceptibility mapping, apparent transverse relaxation rate",Medical Biophysics,,The University of Western Ontario
,Labelling & Intervening in Parental Alienation Cases: A Review of Canadian Court Decisions 2010-2012,2014-04-04 00:00,Master of Arts,Education,,FALSE,,,English,"parental alienation, alienation, custody, alienating, child-abuse",Other Psychology,,The University of Western Ontario
,Resting State Functional Magnetic Resonance and Diffusion Tensor Imaging of Hemiplegic Cerebral Palsy Patients Treated with Constraint-Induced Movement Therapy: Predictors and Clinically Correlated Evidence of Neuroplasticity,2014-03-21 00:00,Master of Science,Medical Biophysics,,FALSE,,,English,"Functional magnetic resonance imaging, diffusion tensor imaging, resting state network, hemiplegic cerebral palsy, constraint-induced movement therapy, neuroplasticity",Biological and Chemical Physics; Medical Neurobiology; Occupational Therapy; Other Rehabilitation and Therapy; Physical Therapy,,The University of Western Ontario
,Physical Simulation of Tornado-Like Vortices,2014-03-27 00:00,Doctor of Philosophy,Mechanical and Materials Engineering,,FALSE,,,English,"Tornado-like vortex, physical simulation, swirl ratio, Particle Image Velocimetry, full-scale data, Fujita scale, Ground-Based Velocity Track Display, similarity analysis, scaling ratio",Aerodynamics and Fluid Mechanics,,The University of Western Ontario
,Les interactions morphosyntaxiques dans l’interlangue des apprenants: le cas de l'acquisition des pronoms clitiques en français L2,2014-04-14 00:00,Doctor of Philosophy,French,,TRUE,2014-09-01 00:00,,French,"acquisition L2, français langue seconde, clitique, accusatif, datif, cas",French Linguistics,,The University of Western Ontario
,Athletes in Song and Stone: Victory and Identity in Epinician and Epigram,2014-04-11 00:00,Doctor of Philosophy,Classics,,TRUE,2018-04-30 00:00,,English,"Greek poetry, athletics, ideology, identity",Classical Literature and Philology,,The University of Western Ontario
,Development of an In-Vitro Passive and Active Motion Simulator for the Investigation of Shoulder Function and Kinematics,2014-04-08 00:00,Doctor of Philosophy,Biomedical Engineering,,FALSE,,,English,"Shoulder motion, in-vitro simulation, biomechanics, passive simulation, active simulation",Biomechanics and Biotransport,,The University of Western Ontario
,Early Adolescents' Experiences of Mental Health: A Mixed-Methods Investigation,2014-03-19 00:00,Master of Arts,Education,,FALSE,,,English,"early adolescents, mental health, wellbeing, gender, belongingness, mixed-methods",Counseling Psychology,,The University of Western Ontario
,"The Aricheng Basement-Hosted Albitite-Type Uranium Deposit, Roraima Basin, Co-Operative Republic Of Guyana, South America.",2014-04-14 00:00,Doctor of Philosophy,Geology,,FALSE,,,English,"Transamazonian, Roraima Basin, Kurupung batholith, Basement-Hosted, Alkali metasomatism, Albitite uranium-zircon",Geology,,The University of Western Ontario
,"siRNA Targeting of Thymidylate Synthase, Thymidine Kinase 1 and Thymidine Kinase 2 as an Anticancer Therapy:  A Combinatorial RNAi Approach",2014-04-15 00:00,Doctor of Philosophy,Microbiology and Immunology,,FALSE,,,English,"small interfering RNA (siRNA), RNA interference (RNAi), combinatorial RNAi, thymidylate synthase (TS), thymidine kinase 1 (TK1), thymidine kinase 2 (TK2), cancer, anticancer drugs, gemcitabine, deoxycytidine kinase (dCK), anticancer therapy, mitochondrial DNA, mitochondrial activity",Biology; Cancer Biology; Molecular Biology; Pharmacology,,The University of Western Ontario
,Development of Non-Covalent Functionalization of Carbon Nanotubes for siRNA Delivery,2014-04-11 00:00,Doctor of Philosophy,Pathology,,TRUE,2015-08-31 00:00,,English,"CNT, SWCNT, RNAi, siRNA, non-viral gene delivery, siRNA delivery",Biotechnology; Macromolecular Substances; Medical Biotechnology; Nanomedicine; Nanotechnology,,The University of Western Ontario
,Reporting Child Exposure to Domestic Violence: Pre-Service Teachers’ Attitudes and Behaviours,2014-04-08 00:00,Master of Arts,Education,,FALSE,,,English,"domestic violence, child exposure, reporting attitudes, reporting behaviour",Counseling Psychology,,The University of Western Ontario
,Learning to Prevent Burning and Fatigue: Teacher Burnout and Compassion Fatigue,2014-03-19 00:00,Master of Arts,Education,,FALSE,,,English,"Teacher, Educator, Burnout, Compassion Fatigue, Professional Development, Canadian",Counseling Psychology; Teacher Education and Professional Development,,The University of Western Ontario
,"Provincially-Funded Insulin Pump Therapy and Glycaemic Control: Real-World Experience in London, Ontario",2014-03-28 00:00,Master of Science,Epidemiology and Biostatistics,,TRUE,2014-12-31 00:00,,English,"type 1 diabetes mellitus, insulin pump therapy, glycaemic control",Clinical Epidemiology,,The University of Western Ontario
,The Role of Mobile Phones in Health Education for Rural Communities in Ghana: An Exploratory Study in Digital Technologies,2014-04-08 00:00,Doctor of Philosophy,Education,,TRUE,2014-09-30 00:00,,English,"STEM and Health Education, Health Information and Literacy, Mobile Phone, Community Education, Mixed methods, Activity Theory, Sub-Saharan Countries, Global Health",Curriculum and Instruction; Education; Health Information Technology; Instructional Media Design,,The University of Western Ontario
,Development of Probabilistic Corrosion Growth Models with Applications in Integrity Management of Pipelines,2014-04-10 00:00,Doctor of Philosophy,Civil and Environmental Engineering,,FALSE,,,English,"Pipeline, metal-loss corrosion, hierarchical Bayesian, measurement error, time-dependent reliability, maintenance",Structural Engineering,,The University of Western Ontario
,Automated Building Information Extraction and Evaluation from High-resolution Remotely Sensed Data,2014-04-17 00:00,Doctor of Philosophy,Geography,,TRUE,2015-04-01 00:00,,English,"building footprint, building height, 3D structure, accuracy assessment, shape similarity, stereo image matching",Geographic Information Sciences; Remote Sensing,,The University of Western Ontario
,Technology Based Mental Health Support Strategies for Youth,2014-03-25 00:00,Master of Education,Education,,FALSE,,,English,"Adolescents, Mental Health, Technology, Internet, Education",Counseling Psychology,,The University of Western Ontario
,Study of Virus Dynamics by Mathematical Models,2014-04-10 00:00,Doctor of Philosophy,Applied Mathematics,,TRUE,2015-05-01 00:00,,English,"Mathematical modeling, basic reproduction number, virus dynamics, viral release strategy, cell-to-cell infection, repulsion of superinfecting virion, virus infection-induced CTL-chemotaxis",Dynamic Systems; Immunology of Infectious Disease; Non-linear Dynamics; Numerical Analysis and Computation; Ordinary Differential Equations and Applied Dynamics; Partial Differential Equations; Virology,,The University of Western Ontario
,Ambiguous Loss For Caregivers of Family Members With Dementia,2014-04-07 00:00,Master of Education,Psychology,,FALSE,,,English,"Alzheimer’s disease, dementia, loss, grief, caregiver, spouse, ambiguous loss",Counseling Psychology,,The University of Western Ontario
,Establishing School Safety: Lessons Learned From a High Needs School,2014-03-21 00:00,Master of Arts,Education,,FALSE,,,English,"Bullying Behaviour, Intervention, Poverty, Prevention, School Safety",Child Psychology; Counseling Psychology; School Psychology,,The University of Western Ontario
,Childhood Abuse and Neglect: A Profile of Associated Risk Factors for Non-Suicidal Self-Injury,2014-03-28 00:00,Master of Arts,Education,,FALSE,,,English,"Non-suicidal self-injury, self-injure, NSSI, maltreatment, abuse, neglect, depression, anxiety, emotion regulation, emotion dysregulation, self-criticism, impulsivity",Counseling Psychology,,The University of Western Ontario
,Mental Health and Safety in Schools: Children’s perceptions and experiences,2014-03-21 00:00,Master of Arts,Education,,FALSE,,,English,"Children, Mental Health, Safety, Bullying, School, Photovoice",Counseling Psychology,,The University of Western Ontario
,Characterizing the domain- and phosphorylation-requirements of the interaction between peptidyl prolyl isomerase Pin1 and mitotic phosphatase CDC25C,2014-04-23 00:00,Master of Science,Biochemistry,,FALSE,,,English,"Pin1, peptidyl-prolyl isomerase, CDC25C, phosphorylated serine/threonine-proline motif, models of binding, simultaneous model",Biochemistry,,The University of Western Ontario
,Examining the Relationship of Variables Associated with Pre-Service Teachers Coping During their Practicum Experience,2014-03-31 00:00,Master of Arts,Education,,FALSE,,,English,"Resiliency, Physical Activity, Subjective Well-Being, Emotional Intelligence, Teacher Self-Efficacy, Pre-Service Teachers",Counselor Education,,The University of Western Ontario
,Obtaining a Diagnosis of Fetal Alcohol Spectrum Disorder: Experiences of Caregivers and Professionals,2014-04-01 00:00,Master of Arts,Education,,FALSE,,,English,"FASD, fetal alcohol spectrum disorders, diagnosis, lived experience, professionals, caregivers, families.",Counseling Psychology; Diagnosis,,The University of Western Ontario
,Effect of Ascorbate on Coagulation and Fibrinolytic Factors in the Septic Microvasculature,2014-04-16 00:00,Doctor of Philosophy,Pharmacology and Toxicology,,FALSE,,,English,"Sepsis, ascorbate, capillary blood flow, plasminogen activator inhibitor-1, fibrinolysis",Alternative and Complementary Medicine; Animal Diseases; Bacterial Infections and Mycoses; Pharmacology,,The University of Western Ontario
,Cortisol and Testosterone in Hair as Biological Markers of Systolic Heart Failure,2014-04-23 00:00,Master of Science,Pharmacology and Toxicology,,FALSE,,,English,"cortisol, testosterone, heart failure, prognosis, hair analysis","Cardiology; Cardiovascular Diseases; Endocrinology, Diabetes, and Metabolism; Medical Biochemistry",,The University of Western Ontario
,Reporting Sexual Violence in School:  Pre-Service Teachers’ Attitude and Behaviours,2014-04-08 00:00,Master of Arts,Education,,FALSE,,,English,"sexual violence, attitudes, reporting behavior, pre-service teachers, past experience",Counseling Psychology,,The University of Western Ontario
,Music and Auditory Transportation: An Investigation of the Music Experience,2014-04-07 00:00,Doctor of Philosophy,Business,,TRUE,2014-06-01 00:00,,English,"experiential consumption, consumer behavior, auditory transportation, music, narrative transportation",Cognition and Perception; Experimental Analysis of Behavior; Marketing,,The University of Western Ontario
,Decision Theory Based Models in Insurance and Beyond,2014-05-16 00:00,Doctor of Philosophy,Statistics and Actuarial Sciences,,FALSE,,,English,"Decision making, insurer, reinsurer, real estate, buyer, seller",Applied Statistics,,The University of Western Ontario
,Acetyl Rb1 Ginsenoside from North American Ginseng: Extraction and Application,2014-04-22 00:00,Doctor of Philosophy,Chemical and Biochemical Engineering,,TRUE,2015-05-01 00:00,,English,"Ginseng, Ultrasound extraction, DMSO, acetyl ginsenoside, SFC, Microsphere, Hydrogel, Microfluidic method",,,The University of Western Ontario
,Adaptive Real-Time Optimal Dispatch of Privately Owned Energy Storage Systems,2014-04-14 00:00,Master of Engineering Science,Electrical and Computer Engineering,,FALSE,,,English,"Adaptive real-time optimal dispatch, Compressed air energy storage, Cryogenic energy storage, Energy shift, Privately owned energy storage system, Publicly available market prices",Power and Energy,,The University of Western Ontario
,Adolescents Experiences with Cyberbullying: A Mixed Methods Analysis,,Master of Arts,Education,,FALSE,,,English,"Cyberbullying, adolescents, gender, friendships, mixed-methods, focus groups, perpetration, reporting, victimization",Counseling Psychology,,The University of Western Ontario
,"Thinking Across Worlds: Indigenous Thought, Relational Ontology, and the Politics of Nature; Or, If Only Nietzsche Could Meet A Yachaj",2014-04-30 00:00,Doctor of Philosophy,Theory and Criticism,,FALSE,,,English,"Relational Ontology, Indigenous Philosophy, Political Ontology, Anthropocentrism, Politics of Nature, Human-Nonhuman Relations",Other Philosophy,,The University of Western Ontario
,The use of technology and electronic media in adolescent dating violence,2014-04-15 00:00,Master of Arts,Psychology,,FALSE,,,English,,,,The University of Western Ontario
,Biomechanical Modeling and Inverse Problem Based Elasticity Imaging for Prostate Cancer Diagnosis,2014-04-16 00:00,Doctor of Philosophy,Electrical and Computer Engineering,,FALSE,,,English,"Prostate Cancer, Diagnosis, Transrectal Ultrasonography, Elastography, Stistical Finite Element Modeling, Prostate Needle Biopsy",Biomedical,,The University of Western Ontario
,Functional Anatomy of the Anconeus: Muscle Architecture and Motor Unit Number Estimation,2014-04-08 00:00,Master of Science,Kinesiology,,TRUE,2015-03-31 00:00,,English,"elbow extensors, triceps brachii, muscle architecture, ultrasound, EMG, MUNE",Anatomy; Exercise Physiology,,The University of Western Ontario
