Last Name	First and Middle Name	Departments	Faculty	ORCID
Ansari	Emily Theodosia Abrams	Music - Research & Composition	Don Wright Faculty of Music	0000-0001-6978-9490
Coates	Norma J	"Music - Research & Composition, Gender,Sexuality&Women Studies, Info & Media Studies - General"	"Don Wright Faculty of Music, Faculty of Arts and Humanities, Faculty of Information & Media Studies"	0009-0007-1877-8733
Cuciurean	John	Music - Research & Composition	Don Wright Faculty of Music	
Daniel	Omar	Music - Research & Composition	Don Wright Faculty of Music	
De Souza	Jonathan	Music - Research & Composition	Don Wright Faculty of Music	0000-0001-9505-7234
Franck	Peter	Music - Research & Composition	Don Wright Faculty of Music	0009-0009-1022-6250
Frehner	Paul	Music - Research & Composition	Don Wright Faculty of Music	
Goehring	Edmund J	Music - Research & Composition	Don Wright Faculty of Music	0000-0002-8936-6046
Grier	James N	Music - Research & Composition	Don Wright Faculty of Music	
Hodgson	Jay	Music - Research & Composition	Don Wright Faculty of Music	0009-0003-4657-6849
Mooney	Kevin	Music - Research & Composition	Don Wright Faculty of Music	0009-0000-0212-8591
Toft	Robert E	Music - Research & Composition	Don Wright Faculty of Music	0000-0002-6782-0703
Paul	Ileana	Arts - Office of the Dean	Faculty of Arts and Humanities	0000-0001-7528-0156
Brown	Christopher G	Classical Studies	Faculty of Arts and Humanities	
Canlas	Gino Ruggiero Lapuebla	Classical Studies	Faculty of Arts and Humanities	0009-0000-9466-9474
Gervais	Kyle	Classical Studies	Faculty of Arts and Humanities	0009-0006-8085-2909
Greene	Elizabeth M	"Classical Studies, Gender,Sexuality&Women Studies"	Faculty of Arts and Humanities	0000-0002-0121-4751
Meyer	Alexander Wellesley	Classical Studies	Faculty of Arts and Humanities	0000-0003-3342-3782
Nousek	Debra L	Classical Studies	Faculty of Arts and Humanities	0009-0009-6346-2943
Olson	Kelly	"Classical Studies, Gender,Sexuality&Women Studies"	Faculty of Arts and Humanities	
Pogorzelski	Randall	Classical Studies	Faculty of Arts and Humanities	0009-0002-2036-5886
Sir	Il Kweon	Classical Studies	Faculty of Arts and Humanities	
Steinbock	Bernd K	Classical Studies	Faculty of Arts and Humanities	0009-0009-8919-9960
Suksi	Aara	Classical Studies	Faculty of Arts and Humanities	0000-0002-6041-0752
Arntfield	Michael Andrew	English & Writing Studies	Faculty of Arts and Humanities	0009-0002-1736-9683
Barrick	David Donald	English & Writing Studies	Faculty of Arts and Humanities	0009-0000-4577-9386
Bassnett	Madeline	"English & Writing Studies, Gender,Sexuality&Women Studies"	Faculty of Arts and Humanities	0009-0003-2137-5899
Bentley	David M	English & Writing Studies	Faculty of Arts and Humanities	
Bhatia	Nandi	English & Writing Studies	Faculty of Arts and Humanities	0000-0001-7117-8023
Blankenship	Janelle S	English & Writing Studies	Faculty of Arts and Humanities	0009-0002-3548-8512
Boulter	Jonathan Stuart	English & Writing Studies	Faculty of Arts and Humanities	0000-0002-3582-9228
Carmichael	Thomas	English & Writing Studies	Faculty of Arts and Humanities	
Devereux	Joanna M	English & Writing Studies	Faculty of Arts and Humanities	
Diemert	Brian J	English & Writing Studies	Faculty of Arts and Humanities	
Doelman	James Peter	English & Writing Studies	Faculty of Arts and Humanities	0000-0001-8984-4872
Emberley	Julia	"English & Writing Studies, Gender,Sexuality&Women Studies"	Faculty of Arts and Humanities	0009-0001-8950-2589
Faflak	Joel Robert	English & Writing Studies	Faculty of Arts and Humanities	0009-0004-3389-6453
Fox	Michael A E	English & Writing Studies	Faculty of Arts and Humanities	0009-0003-1743-1405
Green-Barteet	Miranda	"English & Writing Studies, Gender,Sexuality&Women Studies"	Faculty of Arts and Humanities	0009-0001-9923-0185
Johnston	Jamie William	English & Writing Studies	Faculty of Arts and Humanities	
Jones	Manina Spring Beatrice	English & Writing Studies	Faculty of Arts and Humanities	0009-0002-5795-7463
Keep	Christopher	"English & Writing Studies, Gender,Sexuality&Women Studies"	Faculty of Arts and Humanities	0009-0006-0380-9835
Kidnie	Margaret Jane	English & Writing Studies	Faculty of Arts and Humanities	0009-0003-6166-9250
Lee	Alison M	"English & Writing Studies, Gender,Sexuality&Women Studies"	Faculty of Arts and Humanities	
Lee	Monika Hope	English & Writing Studies	Faculty of Arts and Humanities	
Leonard	John K	English & Writing Studies	Faculty of Arts and Humanities	0009-0008-3605-0129
MacLean	Alyssa Erin	English & Writing Studies	Faculty of Arts and Humanities	0009-0008-4016-1235
Martin	Randall	English & Writing Studies	Faculty of Arts and Humanities	0009-0009-9014-7850
McDayter	Mark	English & Writing Studies	Faculty of Arts and Humanities	0009-0002-0403-1798
McMurran	Mary Helen	English & Writing Studies	Faculty of Arts and Humanities	0000-0001-6562-6424
Moll	Richard	English & Writing Studies	Faculty of Arts and Humanities	0000-0002-8288-6305
Nagl	Tobias	English & Writing Studies	Faculty of Arts and Humanities	
Pero	Allan	English & Writing Studies	Faculty of Arts and Humanities	0009-0006-4309-4512
Plug	Jan	English & Writing Studies	Faculty of Arts and Humanities	0009-0002-0038-6022
Purkis	James	English & Writing Studies	Faculty of Arts and Humanities	
Raine	Michael	English & Writing Studies	Faculty of Arts and Humanities	0009-0001-6069-2323
Rajan	Tilottama	English & Writing Studies	Faculty of Arts and Humanities	
Rowlinson	Matthew	"English & Writing Studies, Theory&Criticism ID Grad Prog"	"Faculty of Arts and Humanities, Faculty of Social Science"	0009-0007-4500-2973
Schneider	Aaron Jacob	English & Writing Studies	Faculty of Arts and Humanities	0009-0002-0479-3864
Schuster	Joshua	English & Writing Studies	Faculty of Arts and Humanities	0009-0005-0894-676X
Schuurman	Anne H	"English & Writing Studies, Gender,Sexuality&Women Studies"	Faculty of Arts and Humanities	0000-0002-6486-7303
Shepard	Alan Clarke	English & Writing Studies	Faculty of Arts and Humanities	
Solga	Kim	"English & Writing Studies, Gender,Sexuality&Women Studies"	Faculty of Arts and Humanities	0000-0002-2993-3360
Stanley	Kate J	English & Writing Studies	Faculty of Arts and Humanities	0009-0009-4211-1212
Toswell	M.Jane	"English & Writing Studies, Gender,Sexuality&Women Studies"	Faculty of Arts and Humanities	0000-0002-3552-0474
Wakeham	Pauline Elizabeth	English & Writing Studies	Faculty of Arts and Humanities	0009-0003-9624-9491
Wlodarz	Joseph	English & Writing Studies	Faculty of Arts and Humanities	0009-0003-7330-7716
De Moras	Nadine	French Studies	Faculty of Arts and Humanities	0009-0000-6326-3172
De Viveiros	Genevieve	French Studies	Faculty of Arts and Humanities	0009-0002-0050-2505
Heap	David J	French Studies	Faculty of Arts and Humanities	0000-0003-1583-5759
Kirk	Heather	French Studies	Faculty of Arts and Humanities	0000-0002-3292-1416
Lamarche	Jacques	French Studies	Faculty of Arts and Humanities	0009-0008-2524-6679
Lawson-Hellu	Late B.	French Studies	Faculty of Arts and Humanities	0009-0000-3220-5244
Leclerc	Jean	French Studies	Faculty of Arts and Humanities	0009-0005-5110-4402
Longtin	Mario	French Studies	Faculty of Arts and Humanities	0009-0004-3220-155X
Nassichuk	John	French Studies	Faculty of Arts and Humanities	0000-0002-9835-3802
Poire	Francois	French Studies	Faculty of Arts and Humanities	0009-0004-8270-8789
Roulston	Christine M	"French Studies, Gender,Sexuality&Women Studies"	Faculty of Arts and Humanities	0000-0001-5295-738X
Schwerdtner	Karin	"French Studies, Gender,Sexuality&Women Studies"	Faculty of Arts and Humanities	0009-0004-0514-1838
Tennant	Jeff	French Studies	Faculty of Arts and Humanities	0009-0006-0725-0266
Vaillancourt	Daniel	French Studies	Faculty of Arts and Humanities	0009-0009-1270-2580
Woodward	Servanne	French Studies	Faculty of Arts and Humanities	0009-0003-3373-7076
Adams	Tracey Lynn	"Gender,Sexuality&Women Studies, Sociology"	"Faculty of Arts and Humanities, Faculty of Social Science"	0000-0002-6649-5988
Adler	Melissa A	"Gender,Sexuality&Women Studies, Info & Media Studies - General"	"Faculty of Arts and Humanities, Faculty of Information & Media Studies"	0000-0002-2867-4600
Ballucci	Dale	"Gender,Sexuality&Women Studies, Sociology"	"Faculty of Arts and Humanities, Faculty of Social Science"	0000-0003-3939-0811
Barteet	Charles Cody	"Gender,Sexuality&Women Studies, Visual Arts"	Faculty of Arts and Humanities	0000-0002-1195-6011
Baruah	Bipasha	"Gender,Sexuality&Women Studies, Anthropology, Geography and Environment"	"Faculty of Arts and Humanities, Faculty of Social Science"	0000-0001-9073-6705
Bedard	Renee E	"Gender,Sexuality&Women Studies, Indigenous Studies"	"Faculty of Arts and Humanities, Faculty of Social Science"	
Bishop	Pamela W	"Gender,Sexuality&Women Studies, Education - Office of the Dean"	"Faculty of Arts and Humanities, Faculty of Education"	
Biswas Mellamphy	Nandita	"Gender,Sexuality&Women Studies, Political Science"	"Faculty of Arts and Humanities, Faculty of Social Science"	0000-0002-3576-1841
Block	Pamela Lynne	"Gender,Sexuality&Women Studies, Anthropology"	"Faculty of Arts and Humanities, Faculty of Social Science"	0000-0003-1481-0314
Bowlus	Audra J	"Gender,Sexuality&Women Studies, Economics"	"Faculty of Arts and Humanities, Faculty of Social Science"	0000-0002-7671-2210
Burucua	Constanza	"Gender,Sexuality&Women Studies, Languages and Cultures"	Faculty of Arts and Humanities	0009-0004-3831-9719
Byrne	Janice	"Gender,Sexuality&Women Studies, Ivey - Associate Dean"	"Faculty of Arts and Humanities, Richard Ivey School of Business"	0000-0002-2510-7133
Calogero	Rachel	"Gender,Sexuality&Women Studies, Psychology"	"Faculty of Arts and Humanities, Faculty of Social Science"	0000-0002-2539-3475
Clark	A. Kim	"Gender,Sexuality&Women Studies, Anthropology"	"Faculty of Arts and Humanities, Faculty of Social Science"	0000-0001-8044-6069
Davies	Lorraine Elizabeth	"Gender,Sexuality&Women Studies, Grad & Postdoc Studies(SGPS)"	"Faculty of Arts and Humanities, Senior Administration"	0000-0002-9552-6966
Fielding	Helen	"Gender,Sexuality&Women Studies, Philosophy"	Faculty of Arts and Humanities	0009-0000-1121-7764
Friesen	Amanda	"Gender,Sexuality&Women Studies, Political Science"	"Faculty of Arts and Humanities, Faculty of Social Science"	0000-0002-9743-5742
Granadillo de Espanol	Tania Yolanda	"Gender,Sexuality&Women Studies, Anthropology"	"Faculty of Arts and Humanities, Faculty of Social Science"	0000-0002-5636-292X
Grey	Cornel	"Gender,Sexuality&Women Studies"	Faculty of Arts and Humanities	0000-0003-2339-5546
Grzyb	Amanda Florence	"Gender,Sexuality&Women Studies, Info & Media Studies - General"	"Faculty of Arts and Humanities, Faculty of Information & Media Studies"	0000-0003-3950-2254
Hearn	Alison	"Gender,Sexuality&Women Studies, Info & Media Studies - General"	"Faculty of Arts and Humanities, Faculty of Information & Media Studies"	0000-0003-4598-0930
Hibbert	Kathryn Marie	"Gender,Sexuality&Women Studies, Educ - ICR Curriculum, Education - Office of the Dean, Department of Medical Imaging"	"Faculty of Arts and Humanities, Faculty of Education, Schulich School of Medicine & Dentistry"	0000-0003-1825-6832
Isaacs	Tracy L	"Gender,Sexuality&Women Studies, Philosophy"	Faculty of Arts and Humanities	0009-0006-9061-0065
Knabe	Susan M.	"Gender,Sexuality&Women Studies, Info & Media Studies - General"	"Faculty of Arts and Humanities, Faculty of Information & Media Studies"	0000-0003-3505-6496
Korycki	Katarzyna	"Gender,Sexuality&Women Studies"	Faculty of Arts and Humanities	0000-0002-4318-0174
Lawson	Erica S	"Gender,Sexuality&Women Studies"	Faculty of Arts and Humanities	0000-0003-3110-143X
Margolis	Rachel	"Gender,Sexuality&Women Studies, Sociology"	"Faculty of Arts and Humanities, Faculty of Social Science"	0000-0002-3331-591X
Martino	Wayne J	"Gender,Sexuality&Women Studies, Educ - ICR Curriculum, Education - Office of the Dean"	"Faculty of Arts and Humanities, Faculty of Education"	0000-0002-4404-9303
McKenna	Katherine M	"Gender,Sexuality&Women Studies, History"	"Faculty of Arts and Humanities, Faculty of Social Science"	0009-0003-5905-4425
McKenzie	Pamela Jane	"Gender,Sexuality&Women Studies, Info & Media Studies - General"	"Faculty of Arts and Humanities, Faculty of Information & Media Studies"	0000-0002-5753-4375
McLeod	Carolyn	"Gender,Sexuality&Women Studies, Philosophy"	Faculty of Arts and Humanities	0000-0002-0258-9117
Oosterveld	Valerie	"Gender,Sexuality&Women Studies, Law - Office of the Dean"	"Faculty of Arts and Humanities, Faculty of Law"	0000-0002-6055-5433
Pearson	Wendy G	"Gender,Sexuality&Women Studies"	Faculty of Arts and Humanities	0000-0003-2028-0743
Polzer	Jessica c	"Gender,Sexuality&Women Studies"	Faculty of Arts and Humanities	0000-0002-5785-1776
Rothbauer	Paulette Margaret	"Gender,Sexuality&Women Studies, Info & Media Studies - General"	"Faculty of Arts and Humanities, Faculty of Information & Media Studies"	0000-0001-8344-4026
Rudman	Debbie	"Gender,Sexuality&Women Studies, Occupational Therapy"	"Faculty of Arts and Humanities, Faculty of Health Sciences"	0000-0002-5486-8994
Shire	Laurel Clark	"Gender,Sexuality&Women Studies, History"	"Faculty of Arts and Humanities, Faculty of Social Science"	0009-0009-1741-9389
Sinel	Zoe	"Gender,Sexuality&Women Studies, Law - Office of the Dean"	"Faculty of Arts and Humanities, Faculty of Law"	0000-0003-1763-5056
Smith Fullerton	Romayne	"Gender,Sexuality&Women Studies, Info & Media Studies - General"	"Faculty of Arts and Humanities, Faculty of Information & Media Studies"	0009-0001-1463-0439
Sprengler	Christine A	"Gender,Sexuality&Women Studies, Visual Arts"	Faculty of Arts and Humanities	0000-0002-5827-1722
Verwaayen	Kimberly J	"Gender,Sexuality&Women Studies"	Faculty of Arts and Humanities	
Wathen	C. Nadine	"Gender,Sexuality&Women Studies, Nursing-Office of the Director"	"Faculty of Arts and Humanities, Faculty of Health Sciences"	0000-0003-2646-2919
Weststar	Johanna	"Gender,Sexuality&Women Studies, DAN Management, Psychology"	"Faculty of Arts and Humanities, Faculty of Social Science"	0000-0002-6144-3695
Adamson	Melitta	Languages and Cultures	Faculty of Arts and Humanities	
Borchert	Angela C.	Languages and Cultures	Faculty of Arts and Humanities	0000-0003-0237-1502
Bruhn de Garavito	Joyce	Languages and Cultures	Faculty of Arts and Humanities	
Caracchini	Cristina	Languages and Cultures	Faculty of Arts and Humanities	0000-0001-6839-0154
Darby	David	Languages and Cultures	Faculty of Arts and Humanities	
Devo	Alba	Languages and Cultures	Faculty of Arts and Humanities	0000-0002-1433-1252
Garcia-Allen	Ana	Languages and Cultures	Faculty of Arts and Humanities	0000-0002-5373-154X
Montano	Rafael	Languages and Cultures	Faculty of Arts and Humanities	
Pocci	Luca	Languages and Cultures	Faculty of Arts and Humanities	
Quintanilla	Felipe Quetzalcoatl	Languages and Cultures	Faculty of Arts and Humanities	
Rafat	Yasaman	Languages and Cultures	Faculty of Arts and Humanities	0000-0002-8983-9405
Suarez	Juan-Luis	Languages and Cultures	Faculty of Arts and Humanities	0000-0001-9302-2986
Tararova	Olga	Languages and Cultures	Faculty of Arts and Humanities	0000-0002-1606-9497
Wolff	Victoria	Languages and Cultures	Faculty of Arts and Humanities	0009-0009-4607-0913
Anderson	Michael Larry	Philosophy	Faculty of Arts and Humanities	0000-0003-0572-115X
Bourget	David	Philosophy	Faculty of Arts and Humanities	0000-0003-0155-9634
Chin-Yee	Benjamin Hull	"Philosophy, Department of Medicine, Pathology and Lab Medicine"	"Faculty of Arts and Humanities, Schulich School of Medicine & Dentistry"	0000-0003-0737-3603
Cyr-Desjardins	Eric	Philosophy	Faculty of Arts and Humanities	0000-0001-9066-4852
DiSalle	Robert J	Philosophy	Faculty of Arts and Humanities	
Dyck	Corey	Philosophy	Faculty of Arts and Humanities	0000-0002-3092-1818
Henry	Devin Michael	Philosophy	Faculty of Arts and Humanities	0000-0002-1622-4303
Hill	Benjamin	Philosophy	Faculty of Arts and Humanities	0000-0002-5458-0106
Klimchuk	Dennis	Philosophy	Faculty of Arts and Humanities	0000-0001-7478-8636
Mendelovici	Angela Adeline	Philosophy	Faculty of Arts and Humanities	0000-0002-5496-0141
Milde	Michael	Philosophy	Faculty of Arts and Humanities	
Mouroutsou	Georgia	Philosophy	Faculty of Arts and Humanities	
Myrvold	Wayne C	Philosophy	Faculty of Arts and Humanities	0000-0002-7033-2647
Oza	Manish	"Philosophy, Law - Office of the Dean"	"Faculty of Arts and Humanities, Faculty of Law"	0000-0002-1807-5233
Skelton	Anthony	Philosophy	Faculty of Arts and Humanities	0000-0003-0052-7243
Smeenk	Christopher J	Philosophy	Faculty of Arts and Humanities	0000-0002-6101-0048
Smith	Maxwell J.A	"Philosophy, School of Health Studies, Epidemiology and Biostatistics"	"Faculty of Arts and Humanities, Faculty of Health Sciences, Schulich School of Medicine & Dentistry"	0000-0001-5230-0548
Stainton	Robert J	Philosophy	Faculty of Arts and Humanities	0000-0001-6661-8266
Sullivan	Jacqueline Anne	Philosophy	Faculty of Arts and Humanities	0000-0003-3042-4632
Velji	Muhammad Diamond	Philosophy	Faculty of Arts and Humanities	
Vidotto	Francesca	"Philosophy, Physics and Astronomy"	"Faculty of Arts and Humanities, Faculty of Science"	0000-0002-9883-0808
Viger	Christopher David	Philosophy	Faculty of Arts and Humanities	0000-0003-3391-0775
Weijer	Charles	"Philosophy, Department of Medicine, Epidemiology and Biostatistics"	"Faculty of Arts and Humanities, Schulich School of Medicine & Dentistry"	0000-0002-5510-1074
Yu	Andy	"Philosophy, Law - Office of the Dean"	"Faculty of Arts and Humanities, Faculty of Law"	0000-0002-1011-0444
Bassnett	Sarah	Visual Arts	Faculty of Arts and Humanities	0000-0002-6632-8450
Doody	Tanya Ann	Visual Arts	Faculty of Arts and Humanities	
Glabush	Sky	Visual Arts	Faculty of Arts and Humanities	
Hassan	Jamelie	Visual Arts	Faculty of Arts and Humanities	
Hatch	John G	Visual Arts	Faculty of Arts and Humanities	0000-0001-7540-1739
Heyn-Jones	Zoë	Visual Arts	Faculty of Arts and Humanities	
Johnson	Tricia C	Visual Arts	Faculty of Arts and Humanities	0009-0007-3780-9136
Karuhanga	Jessica	Visual Arts	Faculty of Arts and Humanities	0009-0007-7614-7235
Kolahdouz Esfahani	Soheila	Visual Arts	Faculty of Arts and Humanities	0009-0007-5649-9057
Leween	Jackson Two Bears	"Visual Arts, Indigenous Studies"	"Faculty of Arts and Humanities, Faculty of Social Science"	0009-0006-9763-4668
Mahon	Patrick L	Visual Arts	Faculty of Arts and Humanities	
Migone	Christof	Visual Arts	Faculty of Arts and Humanities	0009-0008-1994-5932 
Nault	Sheri	Visual Arts	Faculty of Arts and Humanities	0009-0005-8395-2828
Robertson	Kirsty	Visual Arts	Faculty of Arts and Humanities	0000-0002-3518-9267
Robin	Alena	Visual Arts	Faculty of Arts and Humanities	0000-0003-3997-1472
Sneppova	Daniela	"Visual Arts, Info & Media Studies - General"	"Faculty of Arts and Humanities, Faculty of Information & Media Studies"	
Wood	Kelly L	Visual Arts	Faculty of Arts and Humanities	0000-0001-6381-3840
Decoito	Isha	"Educ - ICR Curriculum, Education - Office of the Dean"	Faculty of Education	0000-0002-8315-9150
Heydon	Rachel May Lucy	"Educ - ICR Curriculum, Education - Office of the Dean"	Faculty of Education	0000-0002-5902-7342
Kim	Mi Song	"Educ - ICR Curriculum, Education - Office of the Dean, Electrical & Computer"	"Faculty of Education, Faculty of Engineering"	0000-0003-0597-9927
Namukasa	Immaculate Kizito	"Educ - ICR Curriculum, Education - Office of the Dean"	Faculty of Education	0000-0001-7231-0671
Pacini-Ketchabaw	Veronica	"Educ - ICR Curriculum, Education - Office of the Dean"	Faculty of Education	0000-0001-9720-2175
Puvirajah	Anton S	"Educ - ICR Curriculum, Education - Office of the Dean"	Faculty of Education	0000-0001-5581-910X
Riveros-Barrera	Augusto	"Educ - ICR Curriculum, Education - Office of the Dean"	Faculty of Education	0000-0002-9942-6380
Rodger	Susan Christine	"Educ - ICR Curriculum, Education - Mental Health, Education - Office of the Dean"	Faculty of Education	
Taylor	Shelley K	"Educ - ICR Curriculum, Education - Office of the Dean"	Faculty of Education	0000-0001-9387-0424
Viczko	Melody M	"Educ - ICR Curriculum, Education - Office of the Dean"	Faculty of Education	0000-0002-7113-9224
Zhang	Zheng	"Educ - ICR Curriculum, Education - Office of the Dean"	Faculty of Education	0000-0002-5794-0664
Jaffe	Peter G.	Education - Mental Health	Faculty of Education	0000-0003-1711-3768
Neil	Nicole M	"Education - Mental Health, Education - Office of the Dean, Education-Centre for Research, Psychiatry"	"Faculty of Education, Schulich School of Medicine & Dentistry"	0000-0001-5906-3880
Specht	Jacqueline Ann	"Education - Mental Health, Education - Office of the Dean, Education-Centre for Research"	Faculty of Education	0000-0002-6536-1232
Abdulla	Rosanne Z.Z.	Education - Office of the Dean	Faculty of Education	0009-0002-5150-3727
Ansari	Daniel	"Education - Office of the Dean, Psychology"	"Faculty of Education, Faculty of Social Science"	0000-0002-7625-618X
Berlingieri	Adriana	Education - Office of the Dean	Faculty of Education	
Boers	Frank	Education - Office of the Dean	Faculty of Education	0000-0001-7552-4931
Brown	Jason D	Education - Office of the Dean	Faculty of Education	
Brunette	Candace Brandy	Education - Office of the Dean	Faculty of Education	0000-0003-2429-128X
Byrd Clark	Julie S	Education - Office of the Dean	Faculty of Education	0009-0003-4024-531X
Chavoshi	Saeid	Education - Office of the Dean	Faculty of Education	
Chiodo	Debbie	Education - Office of the Dean	Faculty of Education	
Dare	Lynn	Education - Office of the Dean	Faculty of Education	0000-0002-6719-2823
Dawson	Debra L.	Education - Office of the Dean	Faculty of Education	0000-0002-0681-6823
Debassige	Brent	Education - Office of the Dean	Faculty of Education	
Denomme-Welch	Spy A.A.	Education - Office of the Dean	Faculty of Education	0000-0002-8860-4647
Duerden	Emma Gail	"Education - Office of the Dean, Robarts - Imaging"	"Faculty of Education, Schulich School of Medicine & Dentistry"	0000-0002-9734-7865
Faez	Farahnaz F	Education - Office of the Dean	Faculty of Education	0000-0002-2823-9684
Fenesi	Barbara	"Education - Office of the Dean, Psychology"	"Faculty of Education, Faculty of Social Science"	0000-0003-2670-4551
Friesen	Deanna	"Education - Office of the Dean, Education-Centre for Research"	Faculty of Education	0000-0002-1510-6102
Gadanidis	George	Education - Office of the Dean	Faculty of Education	0000-0002-5982-6056
Gardiner	Rita	Education - Office of the Dean	Faculty of Education	0000-0002-8018-019X
Groen	Jovan	Education - Office of the Dean	Faculty of Education	
Ingrey	Jennifer C.	Education - Office of the Dean	Faculty of Education	0000-0002-9232-5501
King	Colin Bradley	Education - Office of the Dean	Faculty of Education	0000-0001-9241-3758
Kirkpatrick	Lori	Education - Office of the Dean	Faculty of Education	
Klein	Perry D	Education - Office of the Dean	Faculty of Education	0000-0001-6740-4737
Kotsopoulos	Donna	"Education - Office of the Dean, DAN Management"	"Faculty of Education, Faculty of Social Science"	0000-0002-0497-2064
Le Ber	Marlene Janzen	Education - Office of the Dean	Faculty of Education	0000-0003-1384-802X
Lee	Gabrielle Tsai	Education - Office of the Dean	Faculty of Education	0000-0002-9560-8080
Lengyell	Marguerite R.	Education - Office of the Dean	Faculty of Education	0009-0005-3598-282X
Li	Jun	Education - Office of the Dean	Faculty of Education	
Lorusso	Jenna	Education - Office of the Dean	Faculty of Education	
Malkin	Albert	Education - Office of the Dean	Faculty of Education	0000-0002-8652-6390
Meadows	Ken Neil	Education - Office of the Dean	Faculty of Education	
Neeganagwedgin	Erica Lorna	Education - Office of the Dean	Faculty of Education	0000-0001-6131-1812
Ott	Mary Catherine	Education - Office of the Dean	Faculty of Education	
Pollock	Katina E.	Education - Office of the Dean	Faculty of Education	0000-0002-6440-8609
Rezai-Rashti	Goli M.	Education - Office of the Dean	Faculty of Education	0000-0003-2931-2385
Rotas	Nikki	Education - Office of the Dean	Faculty of Education	0000-0003-1655-1512
Scott	Katreena Louise	"Education - Office of the Dean, Centre-RES&EdViol-AWom&Child"	Faculty of Education	0000-0002-8521-810X
Segeren	Allison	Education - Office of the Dean	Faculty of Education	0000-0003-3881-2760
Sirek	Danielle D.	Education - Office of the Dean	Faculty of Education	0000-0002-0080-491X
Stewart	Shannon	"Education - Office of the Dean, Psychiatry"	"Faculty of Education, Schulich School of Medicine & Dentistry"	0000-0002-6480-883X
Suvorov	Ruslan	Education - Office of the Dean	Faculty of Education	0000-0003-2736-5205
Syeda	Maisha Musarrat	Education - Office of the Dean	Faculty of Education	
Tarc	Paul	Education - Office of the Dean	Faculty of Education	0000-0001-8526-343X
Webb	Stuart Alexander	Education - Office of the Dean	Faculty of Education	0000-0002-8297-4997
Hosein	Yara Kareen	Bio-Medical Engineering Pgm	Faculty of Engineering	
Ghaddar	Bissan	"Centr of Eng Leadership & Inno, Ivey - Associate Dean"	"Faculty of Engineering, Richard Ivey School of Business"	0000-0003-4695-200X
Mawdsley	Angela	"Centr of Eng Leadership & Inno, Civil & Environmental"	Faculty of Engineering	
Meister	Darren	"Centr of Eng Leadership & Inno, Ivey - Associate Dean"	"Faculty of Engineering, Richard Ivey School of Business"	0000-0001-7762-053X
Pathak	Seemantini Madhukar	"Centr of Eng Leadership & Inno, Ivey - Associate Dean"	"Faculty of Engineering, Richard Ivey School of Business"	0000-0003-4225-1724
Rakhimbekova	Sabina	"Centr of Eng Leadership & Inno, Civil & Environmental"	Faculty of Engineering	0000-0002-4588-6920
Barghi	Shahzad	Chemical &Biochem Engineering	Faculty of Engineering	0000-0002-9850-2062
Bassi	Amarjeet Singh	Chemical &Biochem Engineering	Faculty of Engineering	0000-0001-9762-3623
Berruti	Franco	"Chemical &Biochem Engineering, The Institute of Chem & Fuels"	Faculty of Engineering	0000-0001-7860-964X
Blasetti	Alberto	Chemical &Biochem Engineering	Faculty of Engineering	
Boutilier	Michael S.H.	"Chemical &Biochem Engineering, Mechanical & Materials"	Faculty of Engineering	0000-0001-6309-2318
Briens	Cedric Louis	"Chemical &Biochem Engineering, The Institute of Chem & Fuels"	Faculty of Engineering	0000-0003-3566-0167
