Number,Year,Entry,Journal,Volume/Issue,Pages,Extracted_Journal,Extracted_Volume,Extracted_Issue,Extracted_PageStart,Extracted_PageEnd
11,1947,"Acentropus niveus Olivier (Lepidopter..: Pyralidae) at Hamilton, Ontario.  Canadian Entomologist, 79 (6): 119.",,,,Canadian Entomologist,79,6,119,
12,1947,"The European praying mantis (Mantis.;:: ligiosa L.) at Hamilton, Ontario.  Canadian Field-Naturalist, 61 (6): l' 7.",,,,,,,,
13,1948,"A comparative study of the proventric1 lus of orthopteroid insects with  reference to its use in taxonomy. Cru adian Journal of Research{D),  26: 93 - 161.",A comparative study of the proventric1 lus of orthopteroid insects with  reference to its use in taxonomy. Cru adian Journal of Research{D),26,93,Cru adian Journal of Research{D),26,,93,161
14,1948,"Notes on a trip to Sable Island, N.S. Canadian Field-Naturalist, 62 (1)  33.",,,,Canadian Field-Naturalist,62,1,33,
15,1948,"Hawk flight. Wood Duck (Hamilton Nati re Club), 2(3): 4 - 5.",Hawk flight. Wood Duck (Hamilton Nati re Club),2(3),4,Wood Duck (Hamilton Nati re Club),2,3,4,5
16,1948,"Powtier-post beetles in imported bamboc. Journal of Economic Entomology,.  41 (1): 113. 2",,,,,,,,
17,1948,"The proventriculus of Cicindela sexg ttata Fabricius (Coleóptera :  Cicindelidae). Canadian Journal of 1 esearch (D), 26 : 1 - 3.",The proventriculus of Cicindela sexg ttata Fabricius (Coleóptera :  Cicindelidae). Canadian Journal of 1 esearch (D),26,1,Canadian Journal of 1 esearch (D),26,,1,3
18,1949,"The proventricular region of Tetraopt s tetraophthalmus Forst. (Coleóptera :  Cerambycidae). Canadian Journal of I esearch (D), 27 : 195 — 199.",The proventricular region of Tetraopt s tetraophthalmus Forst. (Coleóptera :  Cerambycidae). Canadian Journal of I esearch (D),27,195,Canadian Journal of I esearch (D),27,,195,
19,1949,"Insects collected in the Dundas Marsh, Hamilton, Ontario, 1946-47, with  observations on their periods of emer gence. Canadian Entomologist, 81 (1)  1 - 10.",,,,Canadian Entomologist,81,1,1,10
20,1949,"Insects collected in the Dundas Marsh , Hamilton, Ontario, 1947—48.  Journal of the New York Entomological Society, 57 (4) : 225 - 231.",,,,Journal of the New York Entomological Society,57,4,225,231
21,1949,"The red-legged ham beetle on imported copra. Canadian Entomologist,  81 (2) : 52.",,,,Canadian Entomologist,81,2,52,
22,1949,"Tetrastichus minutus (Howard) (Hymenc itera : Eulophidae) reared from  the lady-beetle, Adalia bipunctata. Proceedings of the Nova Scotian  Institute of Science, 22 (2) : 64 - 67.",,,,Proceedings of the Nova Scotian  Institute of Science,22,2,64,67
23,1949,"Emergence of the lacewing Chrysopa ha 'risii Fitch (Neuroptera) and three  hymenopterous parasites from the coco n. Annals of the Entomological  Society of America, 42 (4) : 461 - 46 lo",,,,Annals of the Entomological  Society of America,42,4,461,46
24,1949,"Titles of papers relating to the natu ‘al history of Hamilton.  Wood Duck (Hamilton Nature Club), 3 (0 : 1 - 3.",,,,,,,,
25,1949,"The European praying mantis at Hamilt »n. Wood Duck (Hamilton Nature  Club), 3 (1) : 1 - 2.",,,,Wood Duck (Hamilton Nature  Club),3,1,1,2
26,1951,"Hymenoptera and an inquiline moth rea ed from the goldenrod gall caused  by Gnorimoschema gallaesolidaginis Ri .ey (Lepidoptera).  Proceedings of the Nova Scotian Insti ute of Science ( for 1949-1950),  22 (4) : 1 - 7.",,,,Proceedings of the Nova Scotian Insti ute of Science ( for 1949-1950),22,4,1,7
27,1950,"Mosquitoes collected in the vicinity . f Hamilton, Ontario during the  summer of 1948. Mosquito News, 10 (2 : 57 - 59.",,,,,,,,
28,1950,"Aggregations of the snow-fles, Achoru es socialis Uzel (Collembola),  recurring over three years. Canadian Entomologist, 82 (4) : 84 - 85.",,,,Canadian Entomologist,82,4,84,85
29,1950,"Additions to the list of titles of paj ers relating to the natural  history of Hamilton. Wood Duck (Hami ton Nature Club), 3(8) : 4 - 6.",Additions to the list of titles of paj ers relating to the natural  history of Hamilton. Wood Duck (Hami ton Nature Club),3(8),4,Wood Duck (Hami ton Nature Club),3,8,4,6
30,1950,"Mammal hostrecords of Acarina and Ins cta from the vicinity of Hamilton,  Ontario. Journal of Mammalogy, 31 (3 : 357 - 358.",,,,,,,,
31,1950,"Plants collected in the Dundas Marsh, Hamilton, Ontario,1946.  Canadian Field-Naturalist, 64 (4) : 1; 7 - 130.",,,,Canadian Field-Naturalist,64,4,1,
32,1950,"Further records of the occurrence of 1 he European praying mantis (Mantis  religiosa L.) in southern Ontario. Er homological News, 61 (7) : 205 - 207.",,,,Er homological News,61,7,205,207
33,1950,"Pectinatella magnifica Leidy (Bryozoa in the Dundas Marsh, Hamilton,  Ontario. Canadian Field-Naturalist, €4 (6) : 191 - 192.",,,,,,,,
34,1950,"Acentropus niveus (Oliv.) (Lepidoptera : Pyralidae) on the north shore of  Lake Erie with a consideration of its distribution in North America.  Canadian Entomologist, 82 (12) : 250 - 252. 3",,,,Canadian Entomologist,82,12,250,252
35,1950,"Nymphal mites of the genus Uropoda a tached to a cerambycid beetle.  Annals of the Entomological Society f America, 43(4) : 608 - 609.",Nymphal mites of the genus Uropoda a tached to a cerambycid beetle.  Annals of the Entomological Society f America,43(4),608,Annals of the Entomological Society f America,43,4,608,609
36,1950,"An assemblage of monarch butterflies (Danaus plexippus L.) on the north  shore of Lake Erie. Journal of the .ew York Entomological Society,  58 (3) : 169 - 171.",,,,ew York Entomological Society,58,3,169,171
37,1950,"Birds observed in the Yukon Territor during the summer of 1949.  Canadian Field-Naturalist, 64 (4) : 35 - 139.",,,,Canadian Field-Naturalist,64,4,35,139
38,1950,"Mammals observed in the Yukon Territ ry, Canada, in the summer off 1949.  Journal of Mammalogy, 31(3) : 360 - : 61.","Mammals observed in the Yukon Territ ry, Canada, in the summer off 1949.  Journal of Mammalogy",31(3),360,Journal of Mammalogy,31,3,360,
39,1951,"Correction of a reference to Mantis : eligiosa L.  Entomological News, 62(3) : 102.",Correction of a reference to Mantis : eligiosa L.  Entomological News,62(3),102,Entomological News,62,3,102,
40,1951,"The proventriculus of some locusts o: the family Eumastacidae (Orthoptera)  with reference to its use in taxonomy . Canadian Journal of Zoology,  29(3) : 219 - 223.",The proventriculus of some locusts o: the family Eumastacidae (Orthoptera)  with reference to its use in taxonomy . Canadian Journal of Zoology,29(3),219,Canadian Journal of Zoology,29,3,219,223
41,1951,"White-throated sparrow at Goose Bay, Labrador. Canadian Field-Naturalist,  65 (2) : 80.",,,,Canadian Field-Naturalist,65,2,80,
42,1951,"Bird lice (Mallophaga) from a Florida gallinule and a Baird’s sandpiper.  Canadian Field-Naturalist, 65(3) : 12 ).",Bird lice (Mallophaga) from a Florida gallinule and a Baird’s sandpiper.  Canadian Field-Naturalist,65(3),12,Canadian Field-Naturalist,65,3,12,
43,1951,"The European pine shoot moth, Rhyacic da buoliana Schiff, on Austrian  pine at Hamilton, Ontario. Journal c C the New York Entomological  Society, 59(4) : 241 - 243.","The European pine shoot moth, Rhyacic da buoliana Schiff, on Austrian  pine at Hamilton, Ontario. Journal c C the New York Entomological  Society",59(4),241,Journal c C the New York Entomological  Society,59,4,241,243
44,1951,"Lynchia americana (Leach) (Diptera : lippoboscidae) from a great horned  owl at St.Thomas, Ontario, Canadian Field-Naturalist, 65(5) : 187*","Lynchia americana (Leach) (Diptera : lippoboscidae) from a great horned  owl at St.Thomas, Ontario, Canadian Field-Naturalist",65(5),187,,,,,
45,1951,"The snapping turtle (Chelydra serpent na L.) in the Dundas Marsh,Hamilton,  Ontario. Canadian Field-Naturalist, >5 (1) : 37 - 39. 46,  1951 Black terns nesting in the Dundas Mar sh. Wood Duck (Hamilton Nature Club),  5(4) : 5.","The snapping turtle (Chelydra serpent na L.) in the Dundas Marsh,Hamilton,  Ontario. Canadian Field-Naturalist, >5 (1) : 37 - 39. 46,  1951 Black terns nesting in the Dundas Mar sh. Wood Duck (Hamilton Nature Club)",5(4),5,Wood Duck (Hamilton Nature Club),5,4,5,
47,1951,"Some birds seen at Goose Bay, Labrado *. The Cardinal,3 : 21 - 23.","Some birds seen at Goose Bay, Labrado *. The Cardinal",3,21,The Cardinal,3,,21,23
48,1952,"Cacoecia melaleucana Walker (Lepidopt ra : Tortricidae) and its hymeno­ pterous parasites reared from Trilliu . grandiflorum Michx. Salisb.  Transactions of the American Microsco ical Society, 71(2) : 125 - 128.",Cacoecia melaleucana Walker (Lepidopt ra : Tortricidae) and its hymeno­ pterous parasites reared from Trilliu . grandiflorum Michx. Salisb.  Transactions of the American Microsco ical Society,71(2),125,Transactions of the American Microsco ical Society,71,2,125,128
49,1952,"Nabis ferus L. (Hemiptera : Nabidae) iting a human.  Entomological News, 63(5) : 130.",Nabis ferus L. (Hemiptera : Nabidae) iting a human.  Entomological News,63(5),130,Entomological News,63,5,130,
50,1952,"The proventriculus of the diamond bee le, Entimus nobilis Oliv.,  (Coleóptera  : Curculionidae). Canadi n Entomologist, 84(6) : 181 - 184.","The proventriculus of the diamond bee le, Entimus nobilis Oliv.,  (Coleóptera  : Curculionidae). Canadi n Entomologist",84(6),181,Canadi n Entomologist,84,6,181,184
51,1952,"A burrowing wasp stocking its nest wi h a grasshopper. The Cardinal,  4:2 - 4.",A burrowing wasp stocking its nest wi h a grasshopper. The Cardinal,4,2,The Cardinal,4,,2,4
52,1952,"Mr. John Alston Moffat and his work ir entomology while resident in  London. The Cardinal, 5 : 3 - 8. 4",Mr. John Alston Moffat and his work ir entomology while resident in  London. The Cardinal,5,3,The Cardinal,5,,3,8
53,1952,"Some records of birds nesting in the Winnett Swamp at London.  The Cardinal, 6 : 12 - 15.  .",Some records of birds nesting in the Winnett Swamp at London.  The Cardinal,6,12,The Cardinal,6,,12,15
54,1952,"House centipede (Scutigera forceps ( Raf.)) biting a human.  Entomological News, 6309)- 238.",,,,,,,,
55,1954,"The white-veined dagger, Simyra henr ici (Lepidoptera : Phalaenidae) and  its parasites reared from cat-tail, ‘ypha spp. Proceedings of the  Nova Scotian Institute of Science (f r 1951-1952), 23(2) : 115 - 119.","The white-veined dagger, Simyra henr ici (Lepidoptera : Phalaenidae) and  its parasites reared from cat-tail, ‘ypha spp. Proceedings of the  Nova Scotian Institute of Science (f r 1951-1952)",23(2),115,Proceedings of the  Nova Scotian Institute of Science (f r 1951-1952),23,2,115,119
56,1953,"An assemblage of dragonflies at Rond au Park in September,  Wood Duck (Hamilton Nature Club), 6(5) : 4 - 6.","An assemblage of dragonflies at Rond au Park in September,  Wood Duck (Hamilton Nature Club)",6(5),4,,,,,
57,1953,"Mammal host records of Acarina and I isecta from the vicinity of London,  Ontario. Journal of Mammalogy,34(l) : 137 - 139.",,,,Journal of Mammalogy,34,l,137,139
58,1953,"A partially albino robin nesting in ondon. The Cardinal, 8  : 2.",A partially albino robin nesting in ondon. The Cardinal,8,2,The Cardinal,8,,2,
59,1953,"A caterpillar (Lepidoptera : Phalaen dae) from the digestive tract of  a human. Journal of Parasitology, 3 (3) : 250 - 251.",,,,Journal of Parasitology,3,3,250,251
60,1953,"Mr. William Yates of Habchley, Ontar o and his work in natural history.  The Cardinal, 9 : 5 - 10.","Mr. William Yates of Habchley, Ontar o and his work in natural history.  The Cardinal",9,5,The Cardinal,9,,5,10
61,1953,"A colony of the land snail Cepaea nei oralis (L.) (Helicidae) in the vicinity  of London, Ontario. Canadian Field-1 aturalist, 67(2) : 87 - 89.","A colony of the land snail Cepaea nei oralis (L.) (Helicidae) in the vicinity  of London, Ontario. Canadian Field-1 aturalist",67(2),87,Canadian Field-1 aturalist,67,2,87,89
62,1953,"Iris Pseudacorus L. established in tl e vicinity of London, Ontario.  Rhodora, 55(655) : 244.","Iris Pseudacorus L. established in tl e vicinity of London, Ontario.  Rhodora",55(655),244,Rhodora,55,655,244,
63,1952,Diptera and Hymenoptera reared from I ine cone willow galls caused by  Rhabdophaga strobiloides (Diptera : : tonididae). 83rd. Annual Report  of the Entomological Society of Ontai io (1952) : 34 - 42.,,,,,,,,
64,1953,"Insects reared from goldenrod galls caused by Eurosta solidaginis Fitch  (Diptera : Trypetidae) in southern Oi tario. Canadian Entomologist,  85(8) : 294 - 296.",Insects reared from goldenrod galls caused by Eurosta solidaginis Fitch  (Diptera : Trypetidae) in southern Oi tario. Canadian Entomologist,85(8),294,Canadian Entomologist,85,8,294,296
65,1953,"A study of the population of insects emerging as adults from the Dundas  Marsh, Hamilton, Ontario during 1948, American Midland Naturalist,  49 (3) : 801 - 824.",,,,,,,,
66,1953,"Larval mites of the genus Eutrombidii n attached to a Carolina locust.  Psyche, 60(3) : 124 - 125.  “",Larval mites of the genus Eutrombidii n attached to a Carolina locust.  Psyche,60(3),124,Psyche,60,3,124,125
67,1953,"Some records of birds nesting on the west bank of the Thames River in  London. The Cardinal,10 : 21 - 23.",Some records of birds nesting on the west bank of the Thames River in  London. The Cardinal,10,21,The Cardinal,10,,21,23
68,1953,"A collection of feather lice (Malloph iga) from birds in Ontario.  Transactions of the American Microsco )ical Society,72(4) : 349 - 350.",A collection of feather lice (Malloph iga) from birds in Ontario.  Transactions of the American Microsco )ical Society,72(4),349,Transactions of the American Microsco )ical Society,72,4,349,350
69,1953,"The European praying mantis, Mantis r ligiosa L., at London,Ontario.  Canadian Field-Naturalist, 67(4) : 18 2. 5","The European praying mantis, Mantis r ligiosa L., at London,Ontario.  Canadian Field-Naturalist",67(4),18,Canadian Field-Naturalist,67,4,18,
70,1954,"Observations on the food of the litt .e brown snake, Storeria dekayi  (Holbrook), at London, Ontario. Cop ia (1954) (1) : 62 - 64.",,,,,,,,
71,1954,"Blue-tailed skinks from Rondeau Park Wood Duck (Hamilton Nature Club),  7(5) : 5 - 7.",Blue-tailed skinks from Rondeau Park Wood Duck (Hamilton Nature Club),7(5),5,,,,,
72,1954,"Some salamanders collected in the vi inity of London. The Cardinal,  12 : 7 - 8.",Some salamanders collected in the vi inity of London. The Cardinal,12,7,The Cardinal,12,,7,8
73,1954,"Dicymolomia julianalis Walker (Lepid ptera : pyralidae) and its hymeno­ pterous parasite. Cremastus gracilips Cushman, reared from Typha  latifolia at London, Ontario. Entom logical News, 65 (3) : 73 - 75.",,,,Entom logical News,65,3,73,75
74,1954,"Results of a survey of mosquitoes coi ducted at London, Ontario in 1952  with observations on the biology of ihe species. Canadian Entomologist,  86(3) : 101 - 108.","Results of a survey of mosquitoes coi ducted at London, Ontario in 1952  with observations on the biology of ihe species. Canadian Entomologist",86(3),101,Canadian Entomologist,86,3,101,108
75,1954,"Prairie deer mice suspended in hawtho rn trees by shrikes (?) in the vicinity  of London, Ontario. Bulletin of the Federation of Ontario Naturalists,  65 : 27 - 28.","Prairie deer mice suspended in hawtho rn trees by shrikes (?) in the vicinity  of London, Ontario. Bulletin of the Federation of Ontario Naturalists",65,27,Bulletin of the Federation of Ontario Naturalists,65,,27,28
76,1954,"Some records of birds nesting in nort -east London. The Cardinal, 14 : 2 - 3",Some records of birds nesting in nort -east London. The Cardinal,14,2,The Cardinal,14,,2,3
77,1954,"Some records of ectoparasitic Acarina and Insecta from mammals in  Ontario. Journal of Parasitology, 40 (4) : 483 - 484.",,,,Journal of Parasitology,40,4,483,484
78,1953,Histology of the syes and their conne tion with the brain in the damsel­ fly. Lestes rectangularis Say (Odonat a : Lestidae). 84th. Annual Report  of the Entomological Society of Ontar Lo (1953) : 86 - 91.,,,,,,,,
79,1954,"Observations on the duration of the p pal stage of ten species of mosquitoes  reared at London, Ontario. Canadian Entomologist, 86(10) : 464 - 465.","Observations on the duration of the p pal stage of ten species of mosquitoes  reared at London, Ontario. Canadian Entomologist",86(10),464,Canadian Entomologist,86,10,464,465
80,1954,"Four species of leaf-tying moths and heir dipterous and hymenopterous  parasites reared from mayapple, Podop yllum peltatum L. Transactions of the American Microsco ical Society, 73(4) : 401 - 404.","Four species of leaf-tying moths and heir dipterous and hymenopterous  parasites reared from mayapple, Podop yllum peltatum L. Transactions of the American Microsco ical Society",73(4),401,Transactions of the American Microsco ical Society,73,4,401,404
81,1954,"Euura salicis-nodus (Dalla Torre) (Hy enoptera : Tenthredinidae) and its  hymenopterous parasites reared from s indle-galls of willow. Canadian Entomologist, 86(12) : 542- 46.",Euura salicis-nodus (Dalla Torre) (Hy enoptera : Tenthredinidae) and its  hymenopterous parasites reared from s indle-galls of willow. Canadian Entomologist,86(12),-542,Canadian Entomologist,86,12,542,46
82,1955,"Ichneumonid and braconid wasps collec Led from flowering heads of cat-tail,  Typha latifolia L. Entomological New:, 66(1) : 22 - 23.","Ichneumonid and braconid wasps collec Led from flowering heads of cat-tail,  Typha latifolia L. Entomological New:",66(1),22,Entomological New:,66,1,22,23
83,1955,"Birds, bugs and ‘possums in northern aryland. The Cardinal,15 : 2 - 5.","Birds, bugs and ‘possums in northern aryland. The Cardinal",15,2,The Cardinal,15,,2,5
84,1955,"Systellogaster ovivora Gahan (Hymenop era : Pteromalidae) reared from  egg capsules of the wood-roach, Parco1 latta pennsylvanica (DeGeer),  collected at Rondeau Park, Ontario. । anadian Entomologist, 87(2) :  98 - 99. 6 85. 86. 87. 88. 89. 90. 91. 92. 93. 94. 95. 96. 97. 98.","Systellogaster ovivora Gahan (Hymenop era : Pteromalidae) reared from  egg capsules of the wood-roach, Parco1 latta pennsylvanica (DeGeer),  collected at Rondeau Park, Ontario. । anadian Entomologist",87(2),98,। anadian Entomologist,87,2,98,99
99,1954,"Insects collected from birds’ nests ab London, Ontario.  Canadian Field-Naturalist, 68(3) : 122 - 123. 1954 A warble fly, Cuterebra sp., reared irom a house mouse, Mus mus culus,  in the vicinity of London, Ontario. Canadian Field-Naturalist, 68 (3) :","Insects collected from birds’ nests ab London, Ontario.  Canadian Field-Naturalist",68(3),122,Canadian Field-Naturalist,68,3,122,123
140,1955,"Crayfish chimneys and burrows at Lone >n, Ontario. Bulletin of the  Federation of Ontario Naturalists, 68 : 30 - 31. 1955 Observations on the blue-tailed skink (Eumeces fasciatus).captured in  Rondeau Park, Ontario and kept in cap ivity over winter. Copeia (1955),  (2) : 135 - 136. 1955 Gray squirrels ,Sciurus carolinensis melin, feeding upon samaras of elm.  Journal of Mammalogy, 36(2) : 296. 1955 Phytophaga tumidosae (Felt) (Diptera : Itonididae) and its hymenopterous  parasites reared from the scarred gal L of willow, Canadian Entomologist,  87 (6) : 241 - 245. 1955 A collection of fleas from the vicini y of Fort Simpson, Northwest Terr­ itories, Canada. Journal of Parasite Logy, 41(4) : 441 - 442. 1955 Hyponomeuta multipunctella Clemens (I pidoptera : Hyponomeutidae) and  its dipterous and hymenopterous paras tes. Transactions of the American  Microscopical Society, 74(3) : 265 - 267. 1955 Ichneumon flies laying eggs in an elm stub. Bulletin of the Federation  of Ontario Naturalists, 69 : 20,25. 1955 Report on a manuscript found in a bas wood stump. The Cardinal,17 : 2 - 8.  ( also, 1957, The Heron (Kitchener-Wat rloo Field Naturalists) (1957) :  2 - 8. ) 1954 Anatomy and histology of the digestive tract of the larva of the sawfly  Pteronidea ventralis Say (Hymenoptera : Tenthredinidae). 85th. Annual Report of the Entomologi al Society of Ontario (1954):  32 - 39. 1955 Mites (Anoetidae), fungi (Empusa spp. and pollinia of milkweed (Asclepias  syriaca) transported by calyptrate fl es. Canadian Entomologist, 87 (8) :  366 - 369. 1955 Grasshoppers (Acrididae) and caterpil ars (Arctiidae) impaled on thorns by  shrikes in the vicinity of London, On ario. Entomological News, 66(9): 225 - 229. 1955 Some records of birds nesting in Lond n and vicinity. The Cardinal, 18 :  6 - 8. 1955 Ricker,W.E. and W.W.Judd A collectio . of stoneflies (Plecoptera) from  the Northwest Territories, Canada. E tomological News, 66(10) : 255 - 256. 7","Crayfish chimneys and burrows at Lone >n, Ontario. Bulletin of the  Federation of Ontario Naturalists",68,30,Bulletin of the  Federation of Ontario Naturalists,68,,30,31
100,1955,"A baker’s dozen butterflies in a br ckyard. The Cardinal, 19 : 4 - 7.",A baker’s dozen butterflies in a br ckyard. The Cardinal,19,4,The Cardinal,19,,4,7
101,1956,"An assemblage of land snails on the snow in January. Wood Duck (Hamilton  Nature Club), 9(7) : 2 - 3.",An assemblage of land snails on the snow in January. Wood Duck (Hamilton  Nature Club),9(7),2,Wood Duck (Hamilton  Nature Club),9,7,2,3
102,1956,"A resume of the organization of the McIlwraith Ornithological Club derived  from the minutes of its meetings. ' he Cardinal, 20 : 4 - 10.",A resume of the organization of the McIlwraith Ornithological Club derived  from the minutes of its meetings. ' he Cardinal,20,4,' he Cardinal,20,,4,10
103,1956,"A dog tick, Dermacentor variabilis Say) on a human in southwestern  Ontario. Entomological News, 67 (3 : 68.",,,,,,,,
104,1956,"Dermatitis of humans caused by the : owl mite, Der manyssus gallinae (Deg.),  at London, Ontario. Canadian Entom logist, 88 (3) : 109.",,,,Canadian Entom logist,88,3,109,
105,1956,"Intestinal myiasis of a human causee by maggots of the flesh-fly,  Sarcophaga haemorrhoidalis (Fln.) (1 iptera : Sarcophagidae), in south­ western Ontario. Canadian Entomolog 1st, 88 (3) : 117 - 118.",,,,Canadian Entomolog 1st,88,3,117,118
106,1955,"A dark specimen of the giant slug, 1 imax maximus L., collected at  London, Ontario, Canadian Field-Na! rualist, 69 (3) : 130 - 131.",,,,,,,,
107,1956,"Insects and our climate. Bulletin c C the Federation of Ontario Naturalists,  72 : 16 - 18, 73 : 9.",Insects and our climate. Bulletin c C the Federation of Ontario Naturalists,72,16,Bulletin c C the Federation of Ontario Naturalists,72,,16,18
108,1956,"A carpet beetle larva (Coleóptera : ermestidae) from the digestive tract  of a woman. Journal of Parasitology, 42 (2) : 172.",,,,Journal of Parasitology,42,2,172,
109,1956,"Red-headed woodpeckers (Melanerpes € ythrocephalus) feeding on Carolina  locusts. The Auk, 73 (2) : 285 - 28 >.",,,,The Auk,73,2,285,28
110,1956,"Historical items concerning the McIl raith Ornithological Club gleaned  from the Annual Reports of the Entom logical Society of Ontario. The Cardinal, 21 : 2 - 5.",Historical items concerning the McIl raith Ornithological Club gleaned  from the Annual Reports of the Entom logical Society of Ontario. The Cardinal,21,2,The Cardinal,21,,2,5
111,1955,"Insects of the Carolinian zone of On ario. Annual Report of the  Entomological Society of Ontario, 86 : 24 - 29.",Insects of the Carolinian zone of On ario. Annual Report of the  Entomological Society of Ontario,86,24,Annual Report of the  Entomological Society of Ontario,86,,24,29
112,1956,"A six-tiered nest of the yellow warb .er containing cowbird eggs at London,  Ontario. Bulletin of the Federation of Ontario Naturalists, 73 : 7 - 8.","A six-tiered nest of the yellow warb .er containing cowbird eggs at London,  Ontario. Bulletin of the Federation of Ontario Naturalists",73,7,Bulletin of the Federation of Ontario Naturalists,73,,7,8
113,1956,"Some records of birds nesting in the vicinity of London in 1956.  The Cardinal, 22 : 4 - 6.",Some records of birds nesting in the vicinity of London in 1956.  The Cardinal,22,4,The Cardinal,22,,4,6
114,1956,"Our garden "" eastward in Eden ”, Th G.A.Clarion ( Anglican Church of  Canada ), 10 (4) : 3,8.",,,,Clarion ( Anglican Church of  Canada ),10,4,3,
115,1956,"Results of a survey of calyptrate fl. es of medical importance conducted  at London, Ontario during 1953. Ame: ican Midland Naturalist,56 (2) :  388 - 405.",,,,Ame: ican Midland Naturalist,56,2,388,405
116,1955,"Observations on a second colony of tl e land snail Cepaea nemoralis (L.)  at London, Ontario with a considerat: on of the banding patterns in the  two colonies. Canadian Field-Natura' ist, 69(4) : 148 - 150. 8 117. 118. 119. 120. 121. 122. 123. 124. 125. 126. 127. 128. 129. 130. 131. 132. 133.","Observations on a second colony of tl e land snail Cepaea nemoralis (L.)  at London, Ontario with a considerat: on of the banding patterns in the  two colonies. Canadian Field-Natura' ist",69(4),148,Canadian Field-Natura' ist,69,4,148,150
